MAXLOC --- ARRAY
1. Initializing vector
2. Find maxloc
Dry run: 	Max: 948735262517188208472871217810619818127968755112078358420891758700113349053200153886641691018228184118066639732564609842666021664342200045290123208567054820955742038654976.000000	@ 0	
Run   0: 	Max: 987.594849	@ 401374	Elapsed time: 0.000327
Run   1: 	Max: 641341.000000	@ 0	Elapsed time: 0.000326
Run   2: 	Max: 641668.000000	@ 0	Elapsed time: 0.000326
Run   3: 	Max: 641995.000000	@ 0	Elapsed time: 0.000326
Run   4: 	Max: 642321.000000	@ 0	Elapsed time: 0.000326
Run   5: 	Max: 642647.000000	@ 0	Elapsed time: 0.000325
Run   6: 	Max: 642972.000000	@ 0	Elapsed time: 0.000325
Run   7: 	Max: 643298.000000	@ 0	Elapsed time: 0.000334
Run   8: 	Max: 643633.000000	@ 0	Elapsed time: 0.000324
Run   9: 	Max: 643958.000000	@ 0	Elapsed time: 0.000325
----------------------------------------
Total time:	0.003264 s	mean= 0.000326	 std= 0.000003	( 0.79 % )
